C-LSTM
Test Subject Id: 11 | Val Subject Id: 2
Epoch: 1 | Train Loss: 0.01874
Validation | Loss: 0.01740
Epoch: 2 | Train Loss: 0.01481
Validation | Loss: 0.01492
Epoch: 3 | Train Loss: 0.01368
Validation | Loss: 0.01364
Epoch: 4 | Train Loss: 0.01349
Validation | Loss: 0.01147
Epoch: 5 | Train Loss: 0.01328
Validation | Loss: 0.01233
Epoch: 6 | Train Loss: 0.01319
Validation | Loss: 0.01511
Epoch: 7 | Train Loss: 0.01304
Validation | Loss: 0.01151
Epoch: 8 | Train Loss: 0.01281
Validation | Loss: 0.01268
Epoch: 9 | Train Loss: 0.01269
Validation | Loss: 0.01363
Epoch: 10 | Train Loss: 0.01259
Validation | Loss: 0.01082
Epoch: 11 | Train Loss: 0.01254
Validation | Loss: 0.01224
Epoch: 12 | Train Loss: 0.01245
Validation | Loss: 0.01373
Epoch: 13 | Train Loss: 0.01245
Validation | Loss: 0.01227
Epoch: 14 | Train Loss: 0.01232
Validation | Loss: 0.01091
Epoch: 15 | Train Loss: 0.01233
Validation | Loss: 0.01097
Epoch: 16 | Train Loss: 0.01225
Validation | Loss: 0.01221
Epoch: 17 | Train Loss: 0.01205
Validation | Loss: 0.01127
Epoch: 18 | Train Loss: 0.01197
Validation | Loss: 0.01195
Epoch: 19 | Train Loss: 0.01194
Validation | Loss: 0.01072
Epoch: 20 | Train Loss: 0.01192
Validation | Loss: 0.01382
Epoch: 21 | Train Loss: 0.01193
Validation | Loss: 0.01122
Epoch: 22 | Train Loss: 0.01186
Validation | Loss: 0.01148
Epoch: 23 | Train Loss: 0.01182
Validation | Loss: 0.01147
Epoch: 24 | Train Loss: 0.01178
Validation | Loss: 0.01166
Epoch: 25 | Train Loss: 0.01175
Validation | Loss: 0.01373
Epoch: 26 | Train Loss: 0.01162
Validation | Loss: 0.01101
Epoch: 27 | Train Loss: 0.01163
Validation | Loss: 0.01437
Epoch: 28 | Train Loss: 0.01161
Validation | Loss: 0.01274
Epoch: 29 | Train Loss: 0.01160
Validation | Loss: 0.01365
Epoch: 30 | Train Loss: 0.01160
Validation | Loss: 0.01299
Epoch: 31 | Train Loss: 0.01157
Validation | Loss: 0.01152
Epoch: 32 | Train Loss: 0.01153
Validation | Loss: 0.01326
Epoch: 33 | Train Loss: 0.01151
Validation | Loss: 0.01365
Epoch: 34 | Train Loss: 0.01149
Validation | Loss: 0.01227
Epoch: 35 | Train Loss: 0.01152
Validation | Loss: 0.01248
Epoch: 36 | Train Loss: 0.01146
Validation | Loss: 0.01157
Epoch: 37 | Train Loss: 0.01149
Validation | Loss: 0.01384
Epoch: 38 | Train Loss: 0.01140
Validation | Loss: 0.01182
Epoch: 39 | Train Loss: 0.01141
Validation | Loss: 0.01408
Epoch: 40 | Train Loss: 0.01140
Validation | Loss: 0.01217
Epoch: 41 | Train Loss: 0.01140
Validation | Loss: 0.01285
Epoch: 42 | Train Loss: 0.01144
Validation | Loss: 0.01229
Epoch: 43 | Train Loss: 0.01142
Validation | Loss: 0.01494
Epoch: 44 | Train Loss: 0.01138
Validation | Loss: 0.01149
Early stopping triggered on epoch 44
Epoch: 1 | TL Loss: 0.01155
Epoch: 2 | TL Loss: 0.01022
Epoch: 3 | TL Loss: 0.00952
Epoch: 4 | TL Loss: 0.00926
Epoch: 5 | TL Loss: 0.00888
Before TL:
Test | Loss: 0.01112
After TL:
Test | Loss: 0.01282
